type,company,description,sku,diameter_in,weight_gr,sectional_density,name,product_name,bc_g1,bc_g7,bc_fn
rifle,Hornady,Hornady .224 55gr V-MAX® 22272,22272,0.224,55,0.157,22 Cal .224 55 gr V-MAX® with Cannelure,V-MAX®,0.255,,
rifle,Hornady,Hornady .224 55gr GMX® 22273,22273,0.224,55,0.157,22 Cal .224 55 gr GMX®,GMX®,0.245,,
rifle,Hornady,Hornady .224 55gr Traditional 22671,22671,0.224,55,0.157,22 cal .224 55 gr FMJ-BT with cannelure,Traditional,0.243,,
rifle,Hornady,Hornady .224 55gr V-MAX® 22716,22716,0.224,55,0.157,22 Cal .224 55 gr V-MAX®,V-MAX®,0.255,,
rifle,Hornady,Hornady .224 60gr Varmint™ 2270,2270,0.224,60,0.171,22 Cal .224 60 gr SP,Varmint™,0.264,,
rifle,Hornady,Hornady .224 60gr Varmint™ 2275,2275,0.224,60,0.171,22 Cal .224 60 gr HP,Varmint™,0.271,,
rifle,Hornady,Hornady .224 60gr V-MAX® 22281,22281,0.224,60,0.171,22 Cal .224 60 gr V-MAX®,V-MAX®,0.265,,
rifle,Hornady,Hornady .224 62gr Traditional 22760B,22760B,0.224,62,0.177,22 Cal .224 62 gr FMJ,Traditional,0.274,,
rifle,Hornady,Hornady .243 108gr ELD®  Match 24561B,24561B,0.243,108,0.261,6mm .243 108 gr ELD® Match Bulk Box of 2700,ELD®  Match,0.536,0.27,
rifle,Hornady,Hornady .243 108gr ELD®  Match 24561,24561,0.243,108,0.261,6mm .243 108 gr ELD® Match,ELD®  Match,0.536,0.27,
rifle,Hornady,Hornady .257 60gr Varmint™ 2510,2510,0.257,60,0.13,25 Cal .257 60 gr FP,Varmint™,0.101,,
rifle,Hornady,Hornady .257 75gr V-MAX® 22520,22520,0.257,75,0.162,25 Cal .257 75 gr V-MAX®,V-MAX®,0.29,,
rifle,Hornady,Hornady .257 90gr GMX® 25410,25410,0.257,90,0.195,25 Cal .257 90 gr GMX®,GMX®,0.29,,
rifle,Hornady,Hornady .257 110gr FTX® 2542,2542,0.257,110,0.238,25 Cal .257 110 gr FTX®,FTX®,0.34,,
rifle,Hornady,Hornady .257 110gr ELD-X®  25418,25418,0.257,110,0.238,25 cal .257 110 gr ELD-X®,ELD-X®,0.465,0.234,
rifle,Hornady,Hornady .257 110gr InterBond® 25419,25419,0.257,110,0.238,25 Cal .257 110 gr InterBond®,InterBond®,0.39,,
rifle,Hornady,Hornady .257 117gr InterLock® 2550,2550,0.257,117,0.253,25 Cal .257 117 gr InterLock® RN,InterLock®,0.243,,
rifle,Hornady,Hornady .257 117gr InterLock® 2552,2552,0.257,117,0.253,25 Cal .257 117 gr InterLock® BTSP,InterLock®,0.391,,
rifle,Hornady,Hornady .257 117gr SST® 25522,25522,0.257,117,0.253,25 Cal .257 117 gr SST®,SST®,0.39,,
rifle,Hornady,Hornady .264 95gr V-MAX® 22601,22601,0.264,95,0.195,6.5mm .264 95 gr V-MAX®,V-MAX®,0.365,,
rifle,Hornady,Hornady .264 100gr ELD®  Match 26100,26100,0.264,100,0.205,6.5mm .264 100 gr ELD® Match,ELD®  Match,0.385,0.194,
rifle,Hornady,Hornady .264 120gr GMX® 26110,26110,0.264,120,0.246,6.5mm .264 120 gr GMX®,GMX®,0.45,,
rifle,Hornady,Hornady .264 120gr ELD®  Match 26175,26175,0.264,120,0.246,6.5mm .264 120 gr ELD® Match,ELD®  Match,0.486,0.245,
rifle,Hornady,Hornady .264 123gr SST® 26173,26173,0.264,123,0.252,6.5mm .264 123 gr SST® (Grendel/LBC/Lapua),SST®,0.51,,
rifle,Hornady,Hornady .264 123gr ELD®  Match 26176,26176,0.264,123,0.252,6.5mm .264 123 gr ELD® Match,ELD®  Match,0.506,0.255,
rifle,Hornady,Hornady .264 129gr InterLock® 2620,2620,0.264,129,0.264,6.5mm .264 129 gr InterLock® SP,InterLock®,0.445,,
rifle,Hornady,Hornady .264 129gr SST® 26202,26202,0.264,129,0.264,6.5mm .264 129 gr SST®,SST®,0.485,,
rifle,Hornady,Hornady .264 129gr InterBond® 26209,26209,0.264,129,0.264,6.5mm .264 129 gr InterBond®,InterBond®,0.485,,
