"type","company","description","sku","diameter_in","weight_gr","sectional_density","name","product_name","bc_g1","bc_g7","bc_fn"
"rifle","Sierra","Sierra .224 77gr MatchKing 9377","9377","0.224","77","0.219",".22 Caliber (.224) 77 gr. HPBT MatchKing","MatchKing","","","{"".372"": [3000, null], "".362"": [3000, 2500] , "".362"": [2500, 1700] , "".343"": [0, 1700]}"
"rifle","Sierra","Sierra .224 80gr MatchKing 9390","9390","0.224","80","0.228",".22 Caliber (.224) 80 gr. HPBT MatchKing","MatchKing","","","{"".461"": [2100, null], "".453"": [2100, 1750] , "".420"": [0, 1750]}"
"rifle","Sierra","Sierra .224 90gr MatchKing 9290","9290","0.224","90","0.256",".22 Caliber (.224) 90 gr. HPBT MatchKing","MatchKing","","","{"".563"": [2080, null], "".550"": [2080, 1640] , "".480"": [0, 1640]}"
"rifle","Sierra","Sierra .224 95gr MatchKing 1396","1396","0.224","95","0.27",".22 Caliber (.224) 95 gr. HPBT MatchKing","MatchKing","","","{"".600"": [1600, null], "".556"": [1600, 1440] , "".506"": [0, 1400]}"
"rifle","Sierra","Sierra .243 55gr BlitzKing 1502","1502","0.243","55","0.133","6mm .243 Caliber (.243) 55 gr. BlitzKing","BlitzKing","","","{"".2250"": [2950, null], "".2106"": [2275, 2950] , "".2025"": [0, 2275]}"
"rifle","Sierra","Sierra .243 60gr Varminter 1500","1500","0.243","60","0.145","6mm .243 Caliber (.243) 60 gr. HP","Varminter","","","{"".182"": [2500, null], "".193"": [1800, 2500] , "".205"": [0, 1800]}"
"rifle","Sierra","Sierra .243 70gr MatchKing 1505","1505","0.243","70","0.169","6mm .243 Caliber (.243) 70 gr. HPBT MatchKing","MatchKing","","","{"".259"": [2800, null], "".257"": [2200, 2800] , "".270"": [0, 2200]}"
"rifle","Sierra","Sierra .243 70gr BlitzKing 1507","1507","0.243","70","0.169","6mm .243 Caliber (.243) 70 gr. BlitzKing","BlitzKing","","","{"".299"": [3200, null], "".288"": [2600, 3200] , "".278"": [2200, 2599] , "".257"": [1800, 2199] , "".237"": [0, 1799]}"
"rifle","Sierra","Sierra .243 75gr Varminter 1510","1510","0.243","75","0.181","6mm .243 Caliber (.243) 75 gr. HP","Varminter","","","{"".217"": [2800, null], "".221"": [2200, 2800] , "".232"": [0, 2200]}"
"rifle","Sierra","Sierra .243 80gr Varminter 1515","1515","0.243","80","0.194","6mm .243 Caliber (.243) 80 gr. Blitz SBT","Varminter","","","{"".319"": [2800, null], "".310"": [2200, 2800] , "".295"": [0, 2200]}"
